date,Country,Product,forecast,month,year
2020-03-01,Country_C,Product_Z,7759.479306944043,3,2020
2020-04-01,Country_C,Product_Z,6021.990205221721,4,2020
2020-05-01,Country_C,Product_Z,4320.922696054285,5,2020
2020-06-01,Country_C,Product_Z,6924.470618471014,6,2020
2020-07-01,Country_C,Product_Z,5982.252187006509,7,2020
2020-08-01,Country_C,Product_Z,4800.855523769982,8,2020
2020-09-01,Country_C,Product_Z,6698.547644050126,9,2020
2020-10-01,Country_C,Product_Z,6083.945250240256,10,2020
2020-11-01,Country_C,Product_Z,5094.289874869915,11,2020
2020-12-01,Country_C,Product_Z,7030.190732457401,12,2020
2020-01-01,Country_D,Product_X,3105.2490993792726,1,2020
2020-02-01,Country_D,Product_X,3093.738604480106,2,2020
2020-03-01,Country_D,Product_X,3555.6899708907263,3,2020
2020-04-01,Country_D,Product_X,3307.733996396484,4,2020
2020-05-01,Country_D,Product_X,3139.244413328792,5,2020
2020-06-01,Country_D,Product_X,3514.1428695236714,6,2020
2020-07-01,Country_D,Product_X,3463.56115349066,7,2020
2020-08-01,Country_D,Product_X,3284.9184043676278,8,2020
2020-09-01,Country_D,Product_X,3768.5463947098824,9,2020
2020-10-01,Country_D,Product_X,3398.030528004549,10,2020
2020-11-01,Country_D,Product_X,3471.579875534565,11,2020
2020-12-01,Country_D,Product_X,3748.427899277119,12,2020
2020-01-01,Country_D,Product_Y,8170.1915798932205,1,2020
2020-02-01,Country_D,Product_Y,7850.17381707315,2,2020
2020-03-01,Country_D,Product_Y,10279.315395045256,3,2020
2020-04-01,Country_D,Product_Y,8416.064363858373,4,2020
2020-05-01,Country_D,Product_Y,8027.029447858468,5,2020
2020-06-01,Country_D,Product_Y,9962.341220155378,6,2020
2020-07-01,Country_D,Product_Y,8310.803000572581,7,2020
2020-08-01,Country_D,Product_Y,8103.442639066663,8,2020
2020-09-01,Country_D,Product_Y,9855.733107973945,9,2020
2020-10-01,Country_D,Product_Y,8890.3706283955,10,2020
2020-11-01,Country_D,Product_Y,8318.625355434799,11,2020
2020-12-01,Country_D,Product_Y,9500.906107205798,12,2020
2020-01-01,Country_D,Product_Z,5611.59745330142,1,2020
2020-02-01,Country_D,Product_Z,6132.573986573009,2,2020
2020-03-01,Country_D,Product_Z,7441.886628143318,3,2020
2020-04-01,Country_D,Product_Z,6280.022549792435,4,2020
2020-05-01,Country_D,Product_Z,6299.514806263554,5,2020
2020-06-01,Country_D,Product_Z,6960.76231997935,6,2020
2020-07-01,Country_D,Product_Z,6410.564107145087,7,2020
2020-08-01,Country_D,Product_Z,6439.248748281361,8,2020
2020-09-01,Country_D,Product_Z,7045.928058652118,9,2020
2020-10-01,Country_D,Product_Z,6841.929564813612,10,2020
2020-11-01,Country_D,Product_Z,6343.72701678022,11,2020
2020-12-01,Country_D,Product_Z,7232.955371571947,12,2020
2020-01-01,Country_E,Product_X,13012.7073555726,1,2020
2020-02-01,Country_E,Product_X,13168.334180453485,2,2020
2020-03-01,Country_E,Product_X,13210.12993846322,3,2020
2020-04-01,Country_E,Product_X,12497.0493024455,4,2020
2020-05-01,Country_E,Product_X,13270.447820040205,5,2020
2020-06-01,Country_E,Product_X,13461.115625820545,6,2020
2020-07-01,Country_E,Product_X,12571.352505970846,7,2020
2020-08-01,Country_E,Product_X,12751.182360106397,8,2020
2020-09-01,Country_E,Product_X,13318.837567325329,9,2020
2020-10-01,Country_E,Product_X,13317.174590907822,10,2020
2020-11-01,Country_E,Product_X,13213.630047186904,11,2020
2020-12-01,Country_E,Product_X,13260.67714691884,12,2020
2020-01-01,Country_E,Product_Y,12843.553510241416,1,2020
2020-02-01,Country_E,Product_Y,12884.188581525357,2,2020
2020-03-01,Country_E,Product_Y,14021.348841295377,3,2020
2020-04-01,Country_E,Product_Y,12906.496279453377,4,2020
2020-05-01,Country_E,Product_Y,12756.706776366704,5,2020
2020-06-01,Country_E,Product_Y,13818.077447068585,6,2020
2020-07-01,Country_E,Product_Y,13177.763123439216,7,2020
2020-08-01,Country_E,Product_Y,13076.924243866215,8,2020
2020-09-01,Country_E,Product_Y,13951.03211818831,9,2020
2020-10-01,Country_E,Product_Y,13952.355956999396,10,2020
2020-11-01,Country_E,Product_Y,13502.185439884148,11,2020
2020-12-01,Country_E,Product_Y,13883.360168687745,12,2020
2020-01-01,Country_E,Product_Z,10603.21094629504,1,2020
2020-02-01,Country_E,Product_Z,11566.885290092217,2,2020
2020-03-01,Country_E,Product_Z,14133.138421603659,3,2020
2020-04-01,Country_E,Product_Z,10657.997770609538,4,2020
2020-05-01,Country_E,Product_Z,11083.314415656478,5,2020
2020-06-01,Country_E,Product_Z,14026.389575236824,6,2020
2020-07-01,Country_E,Product_Z,10971.889639917948,7,2020
2020-08-01,Country_E,Product_Z,10810.761114933113,8,2020
2020-09-01,Country_E,Product_Z,13871.12520379539,9,2020
2020-10-01,Country_E,Product_Z,11108.003137321524,10,2020
2020-11-01,Country_E,Product_Z,11024.68553730845,11,2020
2020-12-01,Country_E,Product_Z,13859.402061541145,12,2020
